ID,Coordenadas,Features,Cluster
81,"[-43, 48]","[81.0, 10.496912, 2.979142, -4.705951, 23.139784, 8.949501]",2
33,"[-53, 49]","[33.0, 15.856024, 12.093725, 8.728976, 162.442495, 15.559928]",2
139,"[-29, 53]","[139.0, 18.007474, 11.786733, 8.673856, 163.925753, 18.102608]",2
109,"[-37, 48]","[109.0, 15.049879, 11.713315, 8.636926, 165.529783, 15.896726]",2
113,"[-36, 47]","[113.0, 15.059933, 9.412233, 4.696813, 68.269677, 15.436031]",2
108,"[-37, 46]","[108.0, 15.328626, 12.439411, 8.692953, 143.741967, 22.0]",2
138,"[-29, 47]","[138.0, 13.949073, 2.711744, -4.391589, 35.130381, 1.419517]",2
125,"[-33, 44]","[125.0, 16.207548, 8.923932, 4.666667, 100.243326, 17.908512]",2
124,"[-33, 39]","[124.0, 14.772389, 8.266917, 4.459104, 56.404765, 16.122231]",2
112,"[-36, 39]","[112.0, 12.350497, 11.636742, 5.764091, 153.281976, 19.995643]",2
93,"[-40, 39]","[93.0, 7.200726, 4.138465, -4.186805, 49.018445, 11.993648]",2
96,"[-39, 39]","[96.0, 4.279616, 3.784668, 0.0, 29.789734, 6.703988]",2
127,"[-32, 31]","[127.0, 12.97235, 8.927011, 2.246926, 152.219065, 17.553308]",2
118,"[-35, 37]","[118.0, 13.625465, 9.796736, 3.226877, 170.392893, 22.0]",2
122,"[-34, 28]","[122.0, 16.736375, 11.500035, 8.496801, 153.053947, 22.0]",2
92,"[-40, 35]","[92.0, 17.305752, 11.270555, 8.645603, 162.695407, 17.14422]",2
107,"[-37, 33]","[107.0, 2.958138, 3.676978, 0.0, 34.797356, 8.87237]",2
78,"[-44, 40]","[78.0, 0.255045, 2.726953, 0.0, 37.481053, 11.038406]",2
63,"[-47, 44]","[63.0, 15.001037, 7.583589, 4.699805, 83.178514, 16.690052]",2
32,"[-53, 27]","[32.0, 14.530951, 8.641662, 4.210845, 74.90028, 17.047033]",2
40,"[-51, 38]","[40.0, 3.638432, 2.439335, 0.0, 31.729569, 3.971392]",2
45,"[-50, 38]","[45.0, 6.689319, 2.441706, -8.65717, 38.831341, 5.930568]",2
59,"[-48, 39]","[59.0, 15.425475, 11.10005, 8.702057, 146.766657, 22.0]",2
62,"[-47, 33]","[62.0, 14.84363, 10.827665, 7.010393, 156.477478, 22.0]",2
89,"[-41, 28]","[89.0, 18.065668, 12.496684, 8.733333, 168.175163, 11.5014]",2
26,"[-55, 31]","[26.0, 13.588319, 11.103554, 5.684711, 155.506026, 19.234567]",2
5,"[-63, 29]","[5.0, 10.123368, 8.879677, -0.0, 77.730495, 16.503744]",2
7,"[-62, 35]","[7.0, 7.055075, 3.164404, -8.253031, 34.483677, 11.088097]",2
11,"[-61, 33]","[11.0, 16.027535, 12.727572, 8.733333, 148.439989, 22.0]",2
16,"[-59, 35]","[16.0, 16.933462, 11.428227, 8.548801, 164.363754, 19.202361]",2
